,queue_number,transaction_type,amount,balance_after,status,target_account
0,A-001,ฝากเงิน,355.29,1591.73,สำเร็จ,-
1,A-002,ถอนเงิน,1026.93,333.01,ไม่สำเร็จ (ยอดเงินไม่พอ),-
2,A-003,ฝากเงิน,534.65,3297.52,สำเร็จ,-
3,A-004,ถอนเงิน,511.54,1718.83,สำเร็จ,-
4,A-005,โอนเงิน,756.83,745.49,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-64549-0
5,A-006,ถอนเงิน,1985.83,457.34,ไม่สำเร็จ (ยอดเงินไม่พอ),-
6,A-007,ถอนเงิน,1216.4,1357.63,สำเร็จ,-
7,A-008,ถอนเงิน,1513.09,1321.03,ไม่สำเร็จ (ยอดเงินไม่พอ),-
8,A-009,ฝากเงิน,1361.14,3774.4,สำเร็จ,-
9,A-010,ถอนเงิน,991.71,1165.32,สำเร็จ,-
10,A-011,ฝากเงิน,531.18,2908.69,สำเร็จ,-
11,A-012,โอนเงิน,1909.69,1141.37,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-10748-0
12,A-013,โอนเงิน,1637.37,727.84,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-73058-0
13,A-014,โอนเงิน,479.69,831.46,สำเร็จ,987-6-55361-0
14,A-015,โอนเงิน,1284.63,1076.2,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-93279-0
15,A-016,ฝากเงิน,443.49,2901.84,สำเร็จ,-
16,A-017,ฝากเงิน,131.71,2455.01,สำเร็จ,-
17,A-018,ฝากเงิน,754.4,1360.16,สำเร็จ,-
18,A-019,โอนเงิน,659.54,379.88,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-50895-0
19,A-020,ถอนเงิน,1612.79,421.64,ไม่สำเร็จ (ยอดเงินไม่พอ),-
20,A-021,ฝากเงิน,133.94,341.44,สำเร็จ,-
21,A-022,โอนเงิน,519.14,1922.93,สำเร็จ,987-6-78668-0
22,A-023,ถอนเงิน,1194.11,831.67,ไม่สำเร็จ (ยอดเงินไม่พอ),-
23,A-024,ฝากเงิน,190.14,2821.53,สำเร็จ,-
24,A-025,โอนเงิน,347.74,2335.05,สำเร็จ,987-6-70404-0
25,A-026,ถอนเงิน,1066.86,691.4,ไม่สำเร็จ (ยอดเงินไม่พอ),-
26,A-027,โอนเงิน,1035.47,198.65,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-52643-0
27,A-028,ถอนเงิน,398.23,2084.88,สำเร็จ,-
28,A-029,ถอนเงิน,1381.46,1443.21,สำเร็จ,-
29,A-030,ฝากเงิน,176.76,780.4,สำเร็จ,-
30,A-031,ถอนเงิน,1698.15,1098.91,ไม่สำเร็จ (ยอดเงินไม่พอ),-
31,A-032,ฝากเงิน,1147.22,2209.99,สำเร็จ,-
32,A-033,โอนเงิน,317.91,2080.35,สำเร็จ,987-6-82125-0
33,A-034,ถอนเงิน,1909.27,785.57,ไม่สำเร็จ (ยอดเงินไม่พอ),-
34,A-035,ถอนเงิน,1595.33,137.95,ไม่สำเร็จ (ยอดเงินไม่พอ),-
35,A-036,ฝากเงิน,1781.61,2462.98,สำเร็จ,-
36,A-037,ฝากเงิน,1393.69,3706.08,สำเร็จ,-
37,A-038,ถอนเงิน,1452.06,396.23,ไม่สำเร็จ (ยอดเงินไม่พอ),-
38,A-039,ถอนเงิน,1966.91,243.49,ไม่สำเร็จ (ยอดเงินไม่พอ),-
39,A-040,ถอนเงิน,221.96,2730.86,สำเร็จ,-
40,A-001,โอนเงิน,1961.91,663.98,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-34015-0
41,A-002,ฝากเงิน,568.12,3091.74,สำเร็จ,-
42,A-003,ฝากเงิน,1936.54,3030.32,สำเร็จ,-
43,A-004,โอนเงิน,1261.64,372.43,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-62661-0
44,A-005,โอนเงิน,1748.36,322.65,ไม่สำเร็จ (ยอดเงินไม่พอ),987-6-57079-0
45,A-006,ฝากเงิน,1732.32,3335.77,สำเร็จ,-
46,A-007,ฝากเงิน,384.17,2909.67,สำเร็จ,-
